"model","label","catalog_section","source","current_price","current_garage","current_required_fleet_tier","current_capacity","proposed_market_layer","proposed_branch","proposed_tier","proposed_capacity","insurance_class","maintenance_class","cash_purchase","financing","operational_rental","notes"
"miata3","1989 Mazda Miata NA","civilian_import","carros_reais","22000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"na6","Mazda MX-5 Miata (NA6C)","civilian_import","carros_reais","24000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"honcrx91","Honda CRX SiR 1991","civilian_import","carros_reais","28000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"srt4","Dodge Neon SRT-4","civilian_import","carros_reais","32000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"svx","1996 Subaru Alcyone SVX","civilian_import","carros_reais","35000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"katana","2019 Suzuki Katana","civilian_import","carros_reais","35000","pillboxgarage",,"0","status_light","land","s0","1","light_sport","light_sport","yes","no","no","Duas rodas; uso de carga simbolico e review posterior."
"fto","Mitsubishi FTO GP Version-R","civilian_import","carros_reais","35000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"17civict","2017 Honda Civic Touring","civilian_import","carros_reais","42000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"cam8tun","2018 Toyota Camry XSE","civilian_import","carros_reais","45000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"gsxr19","2019 Suzuki GSX-R1000R","civilian_import","carros_reais","45000","pillboxgarage",,"0","status_light","land","s0","1","light_sport","light_sport","yes","no","no","Duas rodas; uso de carga simbolico e review posterior."
"z32","Nissan 300ZX Z32","civilian_import","carros_reais","45000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"84rx7k","1984 Mazda RX-7 Stanced Version","civilian_import","carros_reais","48000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"e34","1995 BMW M5 E34","civilian_import","carros_reais","48000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
